pair,base,quote,date
SYLO/USDT,SYLO,USDT,2025-09-08T05:27:30Z
KALIS/USDT,KALIS,USDT,2025-09-08T05:27:30Z
XCV/USDT,XCV,USDT,2025-09-08T05:27:30Z
FAND/USDT,FAND,USDT,2025-09-08T05:27:30Z
MOON/USDT,MOON,USDT,2025-09-08T05:27:30Z
JUNO/USDT,JUNO,USDT,2025-09-08T05:27:30Z
ABBC/USDT,ABBC,USDT,2025-09-08T05:27:30Z
