pair,base,quote,status,last_updated
ARNETH,ARN,ETH,BREAK,2025-09-16 14:48:48
GVTBTC,GVT,BTC,BREAK,2025-09-16 14:48:48
GVTETH,GVT,ETH,BREAK,2025-09-16 14:48:48
CDTBTC,CDT,BTC,BREAK,2025-09-16 14:48:48
CDTETH,CDT,ETH,BREAK,2025-09-16 14:48:48
GXSBTC,GXS,BTC,BREAK,2025-09-16 14:48:48
GXSETH,GXS,ETH,BREAK,2025-09-16 14:48:48
NEOBNB,NEO,BNB,BREAK,2025-09-16 14:48:48
POEBTC,POE,BTC,BREAK,2025-09-16 14:48:48
POEETH,POE,ETH,BREAK,2025-09-16 14:48:48
QSPBTC,QSP,BTC,BREAK,2025-09-16 14:48:48
QSPETH,QSP,ETH,BREAK,2025-09-16 14:48:48
QSPBNB,QSP,BNB,BREAK,2025-09-16 14:48:48
BTSBTC,BTS,BTC,BREAK,2025-09-16 14:48:48
BTSETH,BTS,ETH,BREAK,2025-09-16 14:48:48
BTSBNB,BTS,BNB,BREAK,2025-09-16 14:48:48
XZCBTC,XZC,BTC,BREAK,2025-09-16 14:48:48
XZCETH,XZC,ETH,BREAK,2025-09-16 14:48:48
XZCBNB,XZC,BNB,BREAK,2025-09-16 14:48:48
LSKETH,LSK,ETH,BREAK,2025-09-16 14:48:48
LSKBNB,LSK,BNB,BREAK,2025-09-16 14:48:48
TNTBTC,TNT,BTC,BREAK,2025-09-16 14:48:48
TNTETH,TNT,ETH,BREAK,2025-09-16 14:48:48
FUELBTC,FUEL,BTC,BREAK,2025-09-16 14:48:48
FUELETH,FUEL,ETH,BREAK,2025-09-16 14:48:48
BCDBTC,BCD,BTC,BREAK,2025-09-16 14:48:48
BCDETH,BCD,ETH,BREAK,2025-09-16 14:48:48
DGDBTC,DGD,BTC,BREAK,2025-09-16 14:48:48
DGDETH,DGD,ETH,BREAK,2025-09-16 14:48:48
IOTABNB,IOTA,BNB,BREAK,2025-09-16 14:48:48
ADXBNB,ADX,BNB,BREAK,2025-09-16 14:48:48
PPTBTC,PPT,BTC,BREAK,2025-09-16 14:48:48
PPTETH,PPT,ETH,BREAK,2025-09-16 14:48:48
CMTBTC,CMT,BTC,BREAK,2025-09-16 14:48:48
CMTETH,CMT,ETH,BREAK,2025-09-16 14:48:48
CMTBNB,CMT,BNB,BREAK,2025-09-16 14:48:48
XLMBNB,XLM,BNB,BREAK,2025-09-16 14:48:48
CNDBTC,CND,BTC,BREAK,2025-09-16 14:48:48
CNDETH,CND,ETH,BREAK,2025-09-16 14:48:48
CNDBNB,CND,BNB,BREAK,2025-09-16 14:48:48
LENDBTC,LEND,BTC,BREAK,2025-09-16 14:48:48
LENDETH,LEND,ETH,BREAK,2025-09-16 14:48:48
WABIBTC,WABI,BTC,BREAK,2025-09-16 14:48:48
WABIETH,WABI,ETH,BREAK,2025-09-16 14:48:48
WABIBNB,WABI,BNB,BREAK,2025-09-16 14:48:48
TNBBTC,TNB,BTC,BREAK,2025-09-16 14:48:48
TNBETH,TNB,ETH,BREAK,2025-09-16 14:48:48
WAVESBTC,WAVES,BTC,BREAK,2025-09-16 14:48:48
WAVESETH,WAVES,ETH,BREAK,2025-09-16 14:48:48
WAVESBNB,WAVES,BNB,BREAK,2025-09-16 14:48:48
GTOBTC,GTO,BTC,BREAK,2025-09-16 14:48:48
GTOETH,GTO,ETH,BREAK,2025-09-16 14:48:48
GTOBNB,GTO,BNB,BREAK,2025-09-16 14:48:48
ICXETH,ICX,ETH,BREAK,2025-09-16 14:48:48
ICXBNB,ICX,BNB,BREAK,2025-09-16 14:48:48
OSTBTC,OST,BTC,BREAK,2025-09-16 14:48:48
OSTETH,OST,ETH,BREAK,2025-09-16 14:48:48
OSTBNB,OST,BNB,BREAK,2025-09-16 14:48:48
ELFBTC,ELF,BTC,BREAK,2025-09-16 14:48:48
ELFETH,ELF,ETH,BREAK,2025-09-16 14:48:48
AIONBTC,AION,BTC,BREAK,2025-09-16 14:48:48
AIONETH,AION,ETH,BREAK,2025-09-16 14:48:48
AIONBNB,AION,BNB,BREAK,2025-09-16 14:48:48
NEBLBTC,NEBL,BTC,BREAK,2025-09-16 14:48:48
NEBLBNB,NEBL,BNB,BREAK,2025-09-16 14:48:48
BRDBTC,BRD,BTC,BREAK,2025-09-16 14:48:48
BRDETH,BRD,ETH,BREAK,2025-09-16 14:48:48
BRDBNB,BRD,BNB,BREAK,2025-09-16 14:48:48
MCOBNB,MCO,BNB,BREAK,2025-09-16 14:48:48
EDOBTC,EDO,BTC,BREAK,2025-09-16 14:48:48
EDOETH,EDO,ETH,BREAK,2025-09-16 14:48:48
WINGSBTC,WINGS,BTC,BREAK,2025-09-16 14:48:48
WINGSETH,WINGS,ETH,BREAK,2025-09-16 14:48:48
NAVBTC,NAV,BTC,BREAK,2025-09-16 14:48:48
NAVETH,NAV,ETH,BREAK,2025-09-16 14:48:48
NAVBNB,NAV,BNB,BREAK,2025-09-16 14:48:48
LUNBTC,LUN,BTC,BREAK,2025-09-16 14:48:48
LUNETH,LUN,ETH,BREAK,2025-09-16 14:48:48
TRIGBTC,TRIG,BTC,BREAK,2025-09-16 14:48:48
TRIGETH,TRIG,ETH,BREAK,2025-09-16 14:48:48
TRIGBNB,TRIG,BNB,BREAK,2025-09-16 14:48:48
APPCBTC,APPC,BTC,BREAK,2025-09-16 14:48:48
APPCETH,APPC,ETH,BREAK,2025-09-16 14:48:48
APPCBNB,APPC,BNB,BREAK,2025-09-16 14:48:48
VIBEBTC,VIBE,BTC,BREAK,2025-09-16 14:48:48
VIBEETH,VIBE,ETH,BREAK,2025-09-16 14:48:48
RLCBNB,RLC,BNB,BREAK,2025-09-16 14:48:48
INSBTC,INS,BTC,BREAK,2025-09-16 14:48:48
INSETH,INS,ETH,BREAK,2025-09-16 14:48:48
PIVXBNB,PIVX,BNB,BREAK,2025-09-16 14:48:48
IOSTBTC,IOST,BTC,BREAK,2025-09-16 14:48:48
IOSTETH,IOST,ETH,BREAK,2025-09-16 14:48:48
CHATBTC,CHAT,BTC,BREAK,2025-09-16 14:48:48
CHATETH,CHAT,ETH,BREAK,2025-09-16 14:48:48
STEEMBNB,STEEM,BNB,BREAK,2025-09-16 14:48:48
NANOBTC,NANO,BTC,BREAK,2025-09-16 14:48:48
NANOETH,NANO,ETH,BREAK,2025-09-16 14:48:48
NANOBNB,NANO,BNB,BREAK,2025-09-16 14:48:48
VIABTC,VIA,BTC,BREAK,2025-09-16 14:48:48
VIAETH,VIA,ETH,BREAK,2025-09-16 14:48:48
VIABNB,VIA,BNB,BREAK,2025-09-16 14:48:48
BLZBTC,BLZ,BTC,BREAK,2025-09-16 14:48:48
BLZETH,BLZ,ETH,BREAK,2025-09-16 14:48:48
BLZBNB,BLZ,BNB,BREAK,2025-09-16 14:48:48
AEBTC,AE,BTC,BREAK,2025-09-16 14:48:48
AEETH,AE,ETH,BREAK,2025-09-16 14:48:48
AEBNB,AE,BNB,BREAK,2025-09-16 14:48:48
RPXBTC,RPX,BTC,BREAK,2025-09-16 14:48:48
RPXETH,RPX,ETH,BREAK,2025-09-16 14:48:48
RPXBNB,RPX,BNB,BREAK,2025-09-16 14:48:48
NCASHBTC,NCASH,BTC,BREAK,2025-09-16 14:48:48
NCASHETH,NCASH,ETH,BREAK,2025-09-16 14:48:48
NCASHBNB,NCASH,BNB,BREAK,2025-09-16 14:48:48
POABTC,POA,BTC,BREAK,2025-09-16 14:48:48
POAETH,POA,ETH,BREAK,2025-09-16 14:48:48
POABNB,POA,BNB,BREAK,2025-09-16 14:48:48
ZILBTC,ZIL,BTC,BREAK,2025-09-16 14:48:48
ZILBNB,ZIL,BNB,BREAK,2025-09-16 14:48:48
ONTETH,ONT,ETH,BREAK,2025-09-16 14:48:48
ONTBNB,ONT,BNB,BREAK,2025-09-16 14:48:48
STORMBTC,STORM,BTC,BREAK,2025-09-16 14:48:48
STORMETH,STORM,ETH,BREAK,2025-09-16 14:48:48
STORMBNB,STORM,BNB,BREAK,2025-09-16 14:48:48
QTUMBNB,QTUM,BNB,BREAK,2025-09-16 14:48:48
XEMBTC,XEM,BTC,BREAK,2025-09-16 14:48:48
XEMETH,XEM,ETH,BREAK,2025-09-16 14:48:48
XEMBNB,XEM,BNB,BREAK,2025-09-16 14:48:48
WANETH,WAN,ETH,BREAK,2025-09-16 14:48:48
WANBNB,WAN,BNB,BREAK,2025-09-16 14:48:48
WPRBTC,WPR,BTC,BREAK,2025-09-16 14:48:48
WPRETH,WPR,ETH,BREAK,2025-09-16 14:48:48
QLCBTC,QLC,BTC,BREAK,2025-09-16 14:48:48
QLCETH,QLC,ETH,BREAK,2025-09-16 14:48:48
SYSETH,SYS,ETH,BREAK,2025-09-16 14:48:48
SYSBNB,SYS,BNB,BREAK,2025-09-16 14:48:48
QLCBNB,QLC,BNB,BREAK,2025-09-16 14:48:48
GRSBTC,GRS,BTC,BREAK,2025-09-16 14:48:48
GRSETH,GRS,ETH,BREAK,2025-09-16 14:48:48
CLOAKBTC,CLOAK,BTC,BREAK,2025-09-16 14:48:48
CLOAKETH,CLOAK,ETH,BREAK,2025-09-16 14:48:48
GNTBTC,GNT,BTC,BREAK,2025-09-16 14:48:48
GNTETH,GNT,ETH,BREAK,2025-09-16 14:48:48
GNTBNB,GNT,BNB,BREAK,2025-09-16 14:48:48
LOOMBTC,LOOM,BTC,BREAK,2025-09-16 14:48:48
LOOMETH,LOOM,ETH,BREAK,2025-09-16 14:48:48
LOOMBNB,LOOM,BNB,BREAK,2025-09-16 14:48:48
BCNBTC,BCN,BTC,BREAK,2025-09-16 14:48:48
BCNETH,BCN,ETH,BREAK,2025-09-16 14:48:48
BCNBNB,BCN,BNB,BREAK,2025-09-16 14:48:48
REPBTC,REP,BTC,BREAK,2025-09-16 14:48:48
REPBNB,REP,BNB,BREAK,2025-09-16 14:48:48
TUSDBTC,TUSD,BTC,BREAK,2025-09-16 14:48:48
TUSDETH,TUSD,ETH,BREAK,2025-09-16 14:48:48
TUSDBNB,TUSD,BNB,BREAK,2025-09-16 14:48:48
ZENETH,ZEN,ETH,BREAK,2025-09-16 14:48:48
ZENBNB,ZEN,BNB,BREAK,2025-09-16 14:48:48
SKYCOINBTC,SKYCOIN,BTC,BREAK,2025-09-16 14:48:48
SKYCOINETH,SKYCOIN,ETH,BREAK,2025-09-16 14:48:48
SKYCOINBNB,SKYCOIN,BNB,BREAK,2025-09-16 14:48:48
EOSUSDT,EOS,USDT,BREAK,2025-09-16 14:48:48
EOSBNB,EOS,BNB,BREAK,2025-09-16 14:48:48
CVCBTC,CVC,BTC,BREAK,2025-09-16 14:48:48
CVCETH,CVC,ETH,BREAK,2025-09-16 14:48:48
CVCBNB,CVC,BNB,BREAK,2025-09-16 14:48:48
THETAETH,THETA,ETH,BREAK,2025-09-16 14:48:48
THETABNB,THETA,BNB,BREAK,2025-09-16 14:48:48
QKCBTC,QKC,BTC,BREAK,2025-09-16 14:48:48
QKCETH,QKC,ETH,BREAK,2025-09-16 14:48:48
AGIBTC,AGI,BTC,BREAK,2025-09-16 14:48:48
AGIETH,AGI,ETH,BREAK,2025-09-16 14:48:48
